arquivo_1,arquivo_2,distancia
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000023.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000111.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000026.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000115.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000035.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000125.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000036.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000127.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000037.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000128.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000038.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000131.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000040.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000132.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000040.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000148.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000041.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000136.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000045.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000202.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000046.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000203.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000047.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000139.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000057.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000074.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000087.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000147.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000089.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000143.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000113.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000145.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000129.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000149.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000132.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000148.jpg,0
