experiment,config_name,best_epoch,validation_f1_macro,validation_accuracy,validation_loss,epochs_trained,training_time_sec,time_per_epoch_sec,hidden_layers,activation,dropout,use_batch_norm,optimizer,lr,epochs,batch_size,weight_decay
unified_grid,config_163,79,0.9491391272536303,0.9408163265306122,0.17105897912575352,89,72.90896272659302,0.8192018283886856,[64],tanh,0.0,False,adamw,0.0005,100,32,0.0
unified_grid,config_33,43,0.9494774059140104,0.9408163265306122,0.160608172416687,53,28.28089714050293,0.5336018328396779,"[128, 64]",gelu,0.1,False,adamw,0.001,100,64,0.0
unified_grid,config_35,10,0.9473242090364797,0.939795918367347,0.1652058269828558,20,12.339247226715088,0.6169623613357544,"[128, 64]",gelu,0.1,False,adamw,0.001,100,64,0.0001
unified_grid,config_119,47,0.9479556762296754,0.939795918367347,0.16505965800775635,57,56.89630198478699,0.9981807365752103,"[64, 32]",relu,0.2,False,rmsprop,0.0005,100,32,0.0
unified_grid,config_86,78,0.9453768767024772,0.939795918367347,0.1827386748045683,88,21.925211906433105,0.2491501353003762,[16],relu,0.2,False,adam,0.001,100,128,0.0
unified_grid,config_162,78,0.9478666689012881,0.939795918367347,0.17199193593114614,88,21.103764057159424,0.2398155006495389,[64],tanh,0.0,False,adamw,0.001,100,128,0.0
unified_grid,config_36,31,0.9486362183301417,0.939795918367347,0.1630029953084886,41,23.002554178237915,0.5610379067862906,"[128, 64]",gelu,0.1,False,adamw,0.001,100,64,0.0005
unified_grid,config_139,43,0.9477989339481245,0.939795918367347,0.16448136935791663,53,53.4998881816864,1.009431852484649,"[128, 64]",relu,0.2,False,adamw,0.0005,100,32,0.0
unified_grid,config_38,40,0.9475559547041641,0.939795918367347,0.16191574232652783,50,27.376422882080078,0.5475284576416015,"[128, 64]",gelu,0.1,False,adamw,0.0005,100,64,1e-05
unified_grid,config_143,42,0.9482789366666526,0.939795918367347,0.16378871159207437,52,50.19409513473511,0.9652710602833674,"[128, 64]",relu,0.2,False,rmsprop,0.0005,100,32,0.0
unified_grid,config_130,39,0.9474374827097972,0.939795918367347,0.16389840003103018,49,13.553509950637817,0.2766022438905677,"[128, 64]",relu,0.0,False,rmsprop,0.001,100,128,0.0
unified_grid,config_15,38,0.9467718369438148,0.9387755102040817,0.16571131208911538,48,26.516643047332764,0.5524300634860992,"[64, 32]",gelu,0.1,False,adamw,0.0005,100,64,0.0001
unified_grid,config_22,32,0.9469740107440116,0.9387755102040817,0.16708291368559003,42,22.469846963882446,0.5349963562829154,"[64, 32]",gelu,0.2,False,adamw,0.0005,100,64,1e-05
unified_grid,config_161,61,0.9464080478594982,0.9387755102040817,0.1679460005534272,71,59.619818925857544,0.8397157595191204,[64],tanh,0.0,False,adamw,0.001,100,32,0.0
unified_grid,config_34,41,0.9460279335356238,0.9387755102040817,0.16093862894922495,51,27.780604124069214,0.5447177279229257,"[128, 64]",gelu,0.1,False,adamw,0.001,100,64,1e-05
unified_grid,config_17,32,0.9469883997435724,0.9387755102040817,0.1655655363574624,42,23.510436058044434,0.559772287096296,"[64, 32]",gelu,0.2,False,adamw,0.001,100,64,0.0
unified_grid,config_11,42,0.9471405410003255,0.9387755102040817,0.16618720232509077,52,28.230254888534546,0.5428895170872028,"[64, 32]",gelu,0.1,False,adamw,0.001,100,64,0.0001
