experiment,config_name,best_epoch,validation_f1_macro,validation_accuracy,validation_loss,epochs_trained,training_time_sec,time_per_epoch_sec,hidden_layers,activation,dropout,use_batch_norm,optimizer,lr,epochs,batch_size
full_grid,config_7,83,0.9457041672462355,0.9387755102040817,0.16898426617826184,93,75.697096824646,0.8139472776843656,[32],relu,0.0,False,adamw,0.0005,100,32
full_grid,config_21,29,0.9467999436876392,0.9387755102040817,0.16652766488973172,39,32.81554579734802,0.8414242512140518,[32],relu,0.2,False,rmsprop,0.001,100,32
full_grid,config_189,30,0.9468544858054587,0.9387755102040817,0.16661709733307362,40,39.26833772659302,0.9817084431648254,"[128, 64]",tanh,0.2,False,rmsprop,0.001,100,32
full_grid,config_188,52,0.9449581458966577,0.9387755102040817,0.1758672557771206,62,17.751564025878906,0.2863155488044985,"[128, 64]",tanh,0.2,False,adamw,0.0005,100,128
full_grid,config_99,25,0.9465346316219255,0.9377551020408164,0.16723434170407633,35,33.53250193595886,0.9580714838845389,"[64, 32]",relu,0.0,False,adam,0.0005,100,32
full_grid,config_156,62,0.9455757503367985,0.9377551020408164,0.16898868512362242,72,18.91712999343872,0.2627379165755378,"[128, 64]",relu,0.0,False,rmsprop,0.0005,100,128
full_grid,config_83,77,0.9460581643444674,0.9377551020408164,0.1690502638417867,87,68.74445796012878,0.7901661834497561,[64],tanh,0.0,False,rmsprop,0.0005,100,32
full_grid,config_85,31,0.9458047343134707,0.9377551020408164,0.17395448516453466,41,34.71617102622986,0.8467358786885332,[64],tanh,0.2,False,adam,0.001,100,32
full_grid,config_61,43,0.9468918187456306,0.9377551020408164,0.16613083573118334,53,46.45352077484131,0.8764815240536096,[64],relu,0.2,False,adam,0.001,100,32
full_grid,config_54,48,0.945642441079897,0.9377551020408164,0.17236539907753468,58,14.33144998550415,0.24709396526731295,[64],relu,0.0,False,adamw,0.001,100,128
full_grid,config_154,29,0.9445604754338677,0.9377551020408164,0.16848456859588623,39,11.17402720451355,0.28651351806444997,"[128, 64]",relu,0.0,False,rmsprop,0.001,100,128
full_grid,config_56,98,0.9461380541387214,0.9377551020408164,0.17321762535721064,100,24.62963891029358,0.2462963891029358,[64],relu,0.0,False,adamw,0.0005,100,128
full_grid,config_65,52,0.9456457649633337,0.9377551020408164,0.16500216788582264,62,55.2091703414917,0.8904704893788984,[64],relu,0.2,False,adamw,0.001,100,32
full_grid,config_165,16,0.947114019239146,0.9377551020408164,0.16998019093467343,26,26.1253719329834,1.0048219974224384,"[128, 64]",relu,0.2,False,rmsprop,0.001,100,32
full_grid,config_59,24,0.945714866302683,0.9377551020408164,0.17258377433303865,34,28.188596963882446,0.8290763812906602,[64],relu,0.0,False,rmsprop,0.0005,100,32
full_grid,config_71,73,0.9462426303649094,0.9377551020408164,0.16600879978749059,83,67.6277232170105,0.8147918459880783,[64],relu,0.2,False,rmsprop,0.0005,100,32
full_grid,config_158,21,0.9459460145800963,0.9377551020408164,0.17115638218820095,31,9.560145139694214,0.3083917786998133,"[128, 64]",relu,0.2,False,adam,0.001,100,128
full_grid,config_170,24,0.9445951156134997,0.9377551020408164,0.17373452801257372,34,10.008172035217285,0.2943580010358025,"[128, 64]",tanh,0.0,False,adam,0.001,100,128
full_grid,config_23,71,0.9445000895702282,0.9377551020408164,0.16880138789213472,81,67.20504570007324,0.8296919222231265,[32],relu,0.2,False,rmsprop,0.0005,100,32
full_grid,config_191,23,0.9445401242494567,0.9377551020408164,0.1710035993807739,33,32.65856409072876,0.9896534572948109,"[128, 64]",tanh,0.2,False,rmsprop,0.0005,100,32
full_grid,config_190,36,0.944570331135323,0.9377551020408164,0.1719487877562642,46,13.30342411994934,0.28920487217281177,"[128, 64]",tanh,0.2,False,rmsprop,0.001,100,128
full_grid,config_6,66,0.9461034178050952,0.9377551020408164,0.1691197268664837,76,17.466161251068115,0.22981791119826467,[32],relu,0.0,False,adamw,0.001,100,128
full_grid,config_187,20,0.9437821783561251,0.9377551020408164,0.17084915130849807,30,30.683772802352905,1.0227924267450967,"[128, 64]",tanh,0.2,False,adamw,0.0005,100,32
full_grid,config_123,28,0.944391730429471,0.9377551020408164,0.17132041218780703,38,36.07480216026306,0.9493368989542911,"[64, 32]",tanh,0.0,False,adam,0.0005,100,32
full_grid,config_185,11,0.9440126647580754,0.9377551020408164,0.17134776200738647,21,21.640022039413452,1.0304772399720692,"[128, 64]",tanh,0.2,False,adamw,0.001,100,32
full_grid,config_122,27,0.9441305201240764,0.9377551020408164,0.1747741987928748,37,10.707358360290527,0.2893880637916359,"[64, 32]",tanh,0.0,False,adam,0.001,100,128
full_grid,config_183,35,0.9435259292850054,0.9377551020408164,0.16708248721495753,45,44.78891324996948,0.9953091833326552,"[128, 64]",tanh,0.2,False,adam,0.0005,100,32
full_grid,config_120,47,0.9438114335639859,0.9377551020408164,0.17278288677334785,57,16.095920085906982,0.28238456291064884,"[64, 32]",relu,0.2,False,rmsprop,0.0005,100,128
full_grid,config_17,44,0.9443916608447367,0.9377551020408164,0.1677859498247985,54,45.85226583480835,0.8491160339779324,[32],relu,0.2,False,adamw,0.001,100,32
full_grid,config_181,43,0.9463019180952247,0.9377551020408164,0.16913549481861054,53,51.887486934661865,0.9790091874464503,"[128, 64]",tanh,0.2,False,adam,0.001,100,32
full_grid,config_107,33,0.9464841904330988,0.9377551020408164,0.1657102544221186,43,39.91948127746582,0.9283600297085074,"[64, 32]",relu,0.0,False,rmsprop,0.0005,100,32
full_grid,config_142,14,0.9419022098975877,0.9377551020408164,0.18322542682290077,24,7.587328910827637,0.3161387046178182,"[64, 32]",tanh,0.2,False,rmsprop,0.001,100,128
full_grid,config_113,20,0.9461065882903065,0.9377551020408164,0.1671055355860341,30,30.692147970199585,1.0230715990066528,"[64, 32]",relu,0.2,False,adamw,0.001,100,32
full_grid,config_176,55,0.9445867167015661,0.9377551020408164,0.1718063671141863,65,17.824417114257812,0.2742218017578125,"[128, 64]",tanh,0.0,False,adamw,0.0005,100,128
full_grid,config_138,38,0.9422040623579578,0.936734693877551,0.17949703242629766,48,14.166247844696045,0.2951301634311676,"[64, 32]",tanh,0.2,False,adamw,0.001,100,128
full_grid,config_136,47,0.9420920934623486,0.936734693877551,0.18198854010552168,57,16.01622986793518,0.28098648891114353,"[64, 32]",tanh,0.2,False,adam,0.0005,100,128
full_grid,config_100,48,0.9442331521298984,0.936734693877551,0.17316635232418776,58,16.1425302028656,0.2783194862563035,"[64, 32]",relu,0.0,False,adam,0.0005,100,128
full_grid,config_109,44,0.9455939293720272,0.936734693877551,0.1668738098514657,54,53.429620027542114,0.9894374079174466,"[64, 32]",relu,0.2,False,adam,0.001,100,32
full_grid,config_84,79,0.945338659248746,0.936734693877551,0.17483262345194817,89,20.26456594467163,0.22769175218732168,[64],tanh,0.0,False,rmsprop,0.0005,100,128
full_grid,config_128,44,0.9432906655141802,0.936734693877551,0.17873911559581757,54,15.27561092376709,0.2828816837734646,"[64, 32]",tanh,0.0,False,adamw,0.0005,100,128
full_grid,config_87,48,0.9448532989235543,0.936734693877551,0.17508597852241609,58,48.44123315811157,0.8351936751398547,[64],tanh,0.2,False,adam,0.0005,100,32
full_grid,config_110,46,0.9435226768234434,0.936734693877551,0.17070769984275103,56,16.21402406692505,0.289536144052233,"[64, 32]",relu,0.2,False,adam,0.001,100,128
full_grid,config_2,71,0.9427214460239445,0.936734693877551,0.17618003580719233,81,18.245797872543335,0.2252567638585597,[32],relu,0.0,False,adam,0.001,100,128
full_grid,config_125,38,0.9443858650944504,0.936734693877551,0.167610636221305,48,45.61905598640442,0.9503969997167587,"[64, 32]",tanh,0.0,False,adamw,0.001,100,32
