experiment,config_name,best_epoch,validation_f1_macro,validation_accuracy,validation_loss,epochs_trained,training_time_sec,time_per_epoch_sec,hidden_layers,activation,dropout,use_batch_norm,optimizer,lr,epochs,batch_size,weight_decay
gelu_grid,config_20,34,0.9475223437105509,0.9387755102040817,0.16822890052571893,44,23.390328884124756,0.531598383730108,"[64, 32]",gelu,0.2,False,adamw,0.0005,100,64,0.0005
gelu_grid,config_34,29,0.9449535502568235,0.9377551020408164,0.16415241919457912,39,20.31507682800293,0.520899405846229,"[128, 64]",gelu,0.1,False,adamw,0.0005,100,64,1e-05
gelu_grid,config_31,15,0.94643224101102,0.9377551020408164,0.1631971849128604,25,12.995152950286865,0.5198061180114746,"[128, 64]",gelu,0.0,False,adamw,0.001,100,64,0.0001
gelu_grid,config_32,16,0.9464367732540584,0.9377551020408164,0.16316724801436067,26,13.266604900360107,0.5102540346292349,"[128, 64]",gelu,0.0,False,adamw,0.001,100,64,0.0005
gelu_grid,config_24,20,0.9452474653913695,0.9377551020408164,0.16507987258955836,30,17.031463861465454,0.5677154620488485,"[64, 32]",gelu,0.2,False,adamw,0.001,100,64,0.0005
gelu_grid,config_43,31,0.9462426189487962,0.9377551020408164,0.16454183356836438,41,22.415793895721436,0.5467266803834496,"[128, 64]",gelu,0.2,False,adamw,0.0005,100,64,0.0001
gelu_grid,config_46,24,0.9459869531586216,0.9377551020408164,0.1632527825422585,34,18.918665170669556,0.5564313285491046,"[128, 64]",gelu,0.2,False,adamw,0.001,100,64,1e-05
gelu_grid,config_26,31,0.9466371953535615,0.9377551020408164,0.16175263281911612,41,20.932496786117554,0.5105487021004281,"[128, 64]",gelu,0.0,False,adamw,0.0005,100,64,1e-05
gelu_grid,config_1,36,0.9447991327685842,0.9377551020408164,0.1660768804140389,46,22.013476848602295,0.4785538445348325,"[64, 32]",gelu,0.0,False,adamw,0.0005,100,64,0.0
gelu_grid,config_25,34,0.9450148434057649,0.9377551020408164,0.1644943612627685,44,23.762071132659912,0.5400470711968162,"[128, 64]",gelu,0.0,False,adamw,0.0005,100,64,0.0
gelu_grid,config_3,54,0.9453196991336447,0.9377551020408164,0.16447797697037458,64,30.53628921508789,0.4771295189857483,"[64, 32]",gelu,0.0,False,adamw,0.0005,100,64,0.0001
gelu_grid,config_4,38,0.9457740713318918,0.9377551020408164,0.1638094149529934,48,23.668892860412598,0.49310193459192914,"[64, 32]",gelu,0.0,False,adamw,0.0005,100,64,0.0005
gelu_grid,config_14,24,0.9464165455784198,0.9377551020408164,0.16756277112290263,34,18.99083423614502,0.5585539481219124,"[64, 32]",gelu,0.1,False,adamw,0.001,100,64,1e-05
gelu_grid,config_10,34,0.9459097060947629,0.936734693877551,0.16670921724289656,44,25.29640007019043,0.5749181834134188,"[64, 32]",gelu,0.1,False,adamw,0.0005,100,64,1e-05
gelu_grid,config_47,8,0.9449158569606378,0.936734693877551,0.16686218697577715,18,10.619421243667603,0.5899678468704224,"[128, 64]",gelu,0.2,False,adamw,0.001,100,64,0.0001
gelu_grid,config_45,21,0.9447058084665715,0.936734693877551,0.16270169615745544,31,16.62837505340576,0.5363991952711537,"[128, 64]",gelu,0.2,False,adamw,0.001,100,64,0.0
gelu_grid,config_5,17,0.9434410672548442,0.936734693877551,0.1643346739001572,27,14.233318090438843,0.5271599292755127,"[64, 32]",gelu,0.0,False,adamw,0.001,100,64,0.0
gelu_grid,config_42,29,0.9452018441693388,0.936734693877551,0.16571761714294553,39,19.816704988479614,0.5081206407302465,"[128, 64]",gelu,0.2,False,adamw,0.0005,100,64,1e-05
gelu_grid,config_6,17,0.9465001710685776,0.936734693877551,0.16519219428300858,27,13.864572286605835,0.5135026772816976,"[64, 32]",gelu,0.0,False,adamw,0.001,100,64,1e-05
gelu_grid,config_8,19,0.9455525258661132,0.936734693877551,0.16684443783015013,29,15.930540084838867,0.5493289684427196,"[64, 32]",gelu,0.0,False,adamw,0.001,100,64,0.0005
gelu_grid,config_33,16,0.9453908585531626,0.936734693877551,0.16793708223849535,26,14.160913944244385,0.5446505363170917,"[128, 64]",gelu,0.1,False,adamw,0.0005,100,64,0.0
gelu_grid,config_21,22,0.9450348647866333,0.936734693877551,0.1649222020059824,32,17.723960638046265,0.5538737699389458,"[64, 32]",gelu,0.2,False,adamw,0.001,100,64,0.0
