experiment,config_name,best_epoch,validation_f1_macro,validation_accuracy,epochs_trained,training_time_sec,time_per_epoch_sec,hidden_layers,activation,dropout,use_batch_norm,optimizer,lr,epochs,batch_size
full_grid,config_30,11,0.944313509332536,0.9377551020408164,21,5.700454950332642,0.2714502357301258,[32],tanh,0.0,False,adamw,0.001,100,128
full_grid,config_191,8,0.9443059571644954,0.9387755102040817,18,18.204857110977173,1.011380950609843,"[128, 64]",tanh,0.2,False,rmsprop,0.0005,100,32
full_grid,config_122,5,0.9443023877155536,0.939795918367347,15,4.756066083908081,0.3170710722605387,"[64, 32]",tanh,0.0,False,adam,0.001,100,128
full_grid,config_154,7,0.9442915403742618,0.9377551020408164,17,5.569897174835205,0.32764101028442383,"[128, 64]",relu,0.0,False,rmsprop,0.001,100,128
full_grid,config_150,11,0.9442687406543621,0.936734693877551,21,6.928477048873901,0.32992747851780485,"[128, 64]",relu,0.0,False,adamw,0.001,100,128
full_grid,config_118,25,0.9442586900693478,0.9357142857142857,35,9.117533206939697,0.26050094876970564,"[64, 32]",relu,0.2,False,rmsprop,0.001,100,128
full_grid,config_174,10,0.9442098386001506,0.9387755102040817,20,6.42291522026062,0.321145761013031,"[128, 64]",tanh,0.0,False,adamw,0.001,100,128
full_grid,config_12,20,0.9442036463454361,0.9387755102040817,30,7.938735246658325,0.26462450822194417,[32],relu,0.0,False,rmsprop,0.0005,100,128
full_grid,config_68,50,0.9441943293383345,0.936734693877551,60,13.121685981750488,0.21869476636250815,[64],relu,0.2,False,adamw,0.0005,100,128
full_grid,config_75,4,0.9441318741811687,0.9377551020408164,14,14.31912612915039,1.0227947235107422,[64],tanh,0.0,False,adam,0.0005,100,32
full_grid,config_159,8,0.9440868573982498,0.936734693877551,18,18.591654300689697,1.0328696833716497,"[128, 64]",relu,0.2,False,adam,0.0005,100,32
full_grid,config_179,9,0.944017010271245,0.9377551020408164,19,18.968695163726807,0.998352377038253,"[128, 64]",tanh,0.0,False,rmsprop,0.0005,100,32
full_grid,config_58,13,0.9440099592530004,0.9377551020408164,23,5.977167129516602,0.2598768317181131,[64],relu,0.0,False,rmsprop,0.001,100,128
full_grid,config_126,14,0.943954281468949,0.939795918367347,24,7.1176698207855225,0.2965695758660634,"[64, 32]",tanh,0.0,False,adamw,0.001,100,128
full_grid,config_71,11,0.9439388853081013,0.9387755102040817,21,15.897186756134033,0.7570088931492397,[64],relu,0.2,False,rmsprop,0.0005,100,32
full_grid,config_143,11,0.9438794025192072,0.9387755102040817,21,19.569639921188354,0.9318876152946836,"[64, 32]",tanh,0.2,False,rmsprop,0.0005,100,32
full_grid,config_108,14,0.9437878838764477,0.9377551020408164,24,7.676040172576904,0.31983500719070435,"[64, 32]",relu,0.0,False,rmsprop,0.0005,100,128
full_grid,config_80,21,0.9437608916018855,0.9377551020408164,31,7.875748872756958,0.25405641525022443,[64],tanh,0.0,False,adamw,0.0005,100,128
full_grid,config_94,14,0.9437116939538567,0.9387755102040817,24,6.369178771972656,0.26538244883219403,[64],tanh,0.2,False,rmsprop,0.001,100,128
full_grid,config_54,16,0.9436941370138243,0.9377551020408164,26,6.517617225646973,0.25067758560180664,[64],relu,0.0,False,adamw,0.001,100,128
full_grid,config_45,27,0.9436801643290138,0.9387755102040817,37,29.82488489151001,0.806077970040811,[32],tanh,0.2,False,rmsprop,0.001,100,32
